Date,ASX200,BOVESPA,CAC40,DAX,DOWJONES,EUROSTOXX50,FTSE100,HANGSENG,JSE,KOSPI50,MIB,NASDAQ100,NIKKEI,OBX,SENSEX,SMI,SP500,TOPIX,TSX300
2000-03-06,3214,,6545.98,7975.78,10170.51,5464.43,6567.81,17758.76,8022.98165,,50108.56,4457.18,19796.35,185.39,5520.69,7087.7,1391.28,1649.83,9580.87
2000-03-07,3232.5,,6441.85,8064.97,9796.04,5426.36,6466.54,17865.36,8025.96935,,48925.09,4390.83,19944.24,191.09,5589.85,7050.2,1355.62,1665.53,9425.48
2000-03-08,3207.9,18282.93,6344.97,7987,9856.54,5364.52,6411.21,17951.43,7963.22757,,48810.4,4445.68,19766.8,189.21,5511.42,6945.5,1366.7,1661.14,9281.14
2000-03-09,3188,18650.46,6423.43,7949.15,10010.73,5352.88,6532.11,17637.03,7878.078,,49232.55,4586.26,19662.33,188.42,5328.79,6902,1401.69,1643.77,9413.67
2000-03-10,3189.3,18280.35,6510.28,7975.95,9928.83,5416.81,6568.73,17831.86,7856.16817,,49354.56,4587.16,19750.4,187.57,5301.78,6907.9,1395.07,1633.3,9487.14
2000-03-13,3185.9,17594.82,6336.93,7693.85,9947.13,5254.41,6466.87,17096.68,7584.78504,,48207.68,4426.8,19189.93,181.61,5129.22,6781.4,1383.62,1558.15,9461.57
2000-03-14,3178.7,17221.88,6350.35,7650.05,9811.24,5258.32,6487.11,16929.16,7755.08418,,48180.84,4226.99,19141.84,183.64,5175.71,6838.2,1359.15,1581.97,9393.83
2000-03-15,3159.7,17381.6,6188.94,7414.46,10131.42,5083.15,6446.99,16747.2,7753.09237,,46692.35,4130.01,19078.6,180.36,5249.76,6856.3,1392.15,1605.43,9293.61
2000-03-16,3171.8,17642.22,6258.53,7583.96,10630.61,5175.23,6557.25,16359,7898.99193,,47485.4,4353.33,19253.23,180.01,5102.41,7131.5,1458.47,1645.57,9488.04
2000-03-17,3200.4,17511.24,6304.28,7710.92,10595.24,5231.35,6557.99,17082.99,7966.71322,,48124.72,4440.45,19566.32,179.87,,7100.6,1464.47,1674.22,9528.81
2000-03-20,3237.7,17525.59,6352.51,7872.38,10680.25,5286.71,6624.51,17234.46,7989.61895,,47353.63,4261.15,,180.51,,7166.9,1456.63,,9568.33
2000-03-21,3248.8,18342.79,6320.87,7807.93,10907.35,5266.23,6617.87,17199.98,,,46755.79,4449.33,19602.36,178.81,5133.24,7266.3,1493.87,1672.55,9651.4
